1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
0.130882;0.127530;0.087694;0.069914;0.056522;0.051315;0.047245;0.052345;0.041616;0.035819;0.032138;0.030834;0.028510;0.030899;0.028859;0.031073;0.030182;0.028285;0.027126;0.029482;0.028588;0.027818;0.031663;0.028942;0.027203;0.027283;0.028697;0.025637;0.025439;0.024342;0.023625;0.022785;0.020746;0.019973;0.019251;0.018782;0.017457;0.015888;0.016081;0.014667;0.014272;0.014152;0.014396;0.012308;0.012261;0.012069;0.010903;0.009355;0.009438;0.008956;0.009928;0.006866;0.007310;0.008791;0.007373;0.008120;0.007391;0.006812;0.006808;0.006894;0.006340;0.005612;0.006327;0.005513;0.005985;0.005659;0.006108;0.005135;0.005282;0.005570
0.008888;0.011095;0.006274;0.006335;0.004740;0.004120;0.003891;0.004534;0.003663;0.003836;0.003048;0.002803;0.002209;0.003001;0.002724;0.003202;0.002550;0.002236;0.002538;0.002354;0.002110;0.002301;0.001263;0.001783;0.001799;0.001644;0.001588;0.001424;0.001603;0.001525;0.001415;0.001399;0.001305;0.000972;0.001143;0.001068;0.001194;0.001107;0.001024;0.001064;0.000911;0.000938;0.000947;0.000651;0.000797;0.000760;0.000873;0.000775;0.000659;0.000854;0.000695;0.000710;0.000854;0.000542;0.000651;0.000701;0.000722;0.000471;0.000505;0.000702;0.000530;0.000430;0.000658;0.000441;0.000449;0.000666;0.000414;0.000404;0.000458;0.000558
0.003547;0.004214;0.003092;0.003342;0.002408;0.002431;0.001743;0.002433;0.002131;0.002119;0.001787;0.001655;0.001487;0.001165;0.001387;0.001901;0.001920;0.001246;0.001442;0.001326;0.001626;0.001572;0.000959;0.001029;0.001119;0.001046;0.001183;0.000972;0.000938;0.000543;0.000765;0.000527;0.000618;0.000622;0.000476;0.000454;0.000546;0.000754;0.000567;0.000492;0.000414;0.000642;0.000456;0.000374;0.000599;0.000399;0.000535;0.000405;0.000613;0.000627;0.000549;0.000836;0.000284;0.000482;0.000658;0.000115;0.000295;0.000325;0.000326;0.000288;0.000140;0.000166;0.000365;0.000394;0.000440;0.000276;0.000245;0.000343;0.000402;0.000326
0.002594;0.001940;0.001925;0.001857;0.001711;0.001685;0.001323;0.001390;0.001544;0.001349;0.001145;0.001067;0.001204;0.001101;0.001122;0.001060;0.001168;0.001136;0.001252;0.000934;0.000973;0.000763;0.000774;0.000963;0.001034;0.001026;0.000579;0.000698;0.000704;0.000695;0.000503;0.000504;0.000487;0.000475;0.000644;0.000347;0.000520;0.000372;0.000422;0.000455;0.000423;0.000342;0.000247;0.000430;0.000473;0.000313;0.000346;0.000422;0.000592;0.000323;0.000463;0.000275;0.000070;0.000284;0.000444;0.000425;0.000191;0.000221;0.000216;0.000361;0.000251;0.000280;0.000033;0.000199;0.000098;0.000203;0.000137;0.000278;0.000137;0.000133
0.001561;0.001428;0.001431;0.001797;0.001195;0.001174;0.001067;0.001009;0.000612;0.000712;0.001123;0.000730;0.000748;0.000591;0.000965;0.001010;0.000826;0.000669;0.000698;0.000877;0.000543;0.000693;0.000816;0.000801;0.000744;0.000724;0.000597;0.000847;0.000593;0.000643;0.000676;0.000565;0.000606;0.000569;0.000434;0.000624;0.000348;0.000391;0.000351;0.000446;0.000297;0.000471;0.000341;0.000443;0.000227;0.000323;0.000444;0.000426;0.000451;0.000218;0.000225;0.000363;0.000172;0.000313;0.000283;0.000259;0.000424;0.000420;0.000404;0.000216;0.000144;0.000287;0.000210;0.000133;0.000265;0.000229;0.000168;0.000206;0.000208;0.000102
0.001371;0.001178;0.000874;0.000864;0.000884;0.001004;0.000927;0.000875;0.000778;0.000931;0.000797;0.000604;0.000689;0.000791;0.000979;0.000829;0.000920;0.000804;0.000838;0.000816;0.000547;0.000817;0.000770;0.000501;0.000595;0.000672;0.000558;0.000789;0.000491;0.000445;0.000436;0.000595;0.000505;0.000405;0.000387;0.000352;0.000410;0.000392;0.000304;0.000308;0.000223;0.000320;0.000400;0.000365;0.000246;0.000252;0.000174;0.000418;0.000346;0.000225;0.000124;0.000386;0.000363;0.000274;0.000418;0.000389;0.000221;0.000270;0.000229;0.000147;0.000108;0.000288;0.000072;0.000280;0.000332;0.000231;0.000098;0.000202;0.000068;0.000104
0.001510;0.001348;0.000739;0.000790;0.000988;0.000810;0.000698;0.000901;0.000747;0.000716;0.000487;0.000610;0.000584;0.000691;0.000642;0.000820;0.000738;0.000645;0.000687;0.000936;0.000444;0.000691;0.000645;0.000514;0.000581;0.000569;0.000725;0.000511;0.000622;0.000469;0.000488;0.000395;0.000493;0.000384;0.000446;0.000591;0.000311;0.000324;0.000196;0.000305;0.000375;0.000491;0.000183;0.000188;0.000316;0.000343;0.000251;0.000298;0.000339;0.000399;0.000141;0.000187;0.000354;0.000231;0.000034;0.000243;0.000353;0.000074;0.000192;0.000267;0.000220;0.000107;0.000180;0.000072;0.000035;0.000066;0.000099;0.000131;0.000101;0.000034
0.001112;0.001105;0.000796;0.000798;0.000625;0.000631;0.000637;0.000788;0.000723;0.000939;0.000484;0.000573;0.000316;0.000418;0.000650;0.000557;0.000753;0.000555;0.000554;0.000640;0.000745;0.000421;0.000668;0.000794;0.000514;0.000502;0.000363;0.000577;0.000416;0.000599;0.000380;0.000361;0.000395;0.000370;0.000344;0.000548;0.000326;0.000270;0.000260;0.000371;0.000262;0.000287;0.000312;0.000296;0.000305;0.000388;0.000196;0.000151;0.000298;0.000078;0.000320;0.000338;0.000280;0.000193;0.000264;0.000137;0.000209;0.000247;0.000147;0.000231;0.000076;0.000293;0.000072;0.000252;0.000036;0.000140;0.000166;0.000066;0.000163;0.000168
0.001153;0.001151;0.001079;0.000794;0.000769;0.000786;0.000679;0.000758;0.000531;0.000698;0.000554;0.000358;0.000722;0.000632;0.000795;0.000483;0.000386;0.000571;0.000532;0.000671;0.000499;0.000674;0.000492;0.000645;0.000472;0.000566;0.000503;0.000467;0.000504;0.000344;0.000576;0.000515;0.000426;0.000396;0.000247;0.000365;0.000244;0.000306;0.000353;0.000260;0.000306;0.000240;0.000264;0.000267;0.000227;0.000211;0.000363;0.000293;0.000275;0.000248;0.000183;0.000293;0.000282;0.000124;0.000193;0.000132;0.000205;0.000278;0.000141;0.000147;0.000192;0.000266;0.000220;0.000107;0.000144;0.000072;0.000140;0.000100;0.000099;0.000098
0.000801;0.000966;0.000781;0.000829;0.000579;0.000592;0.000812;0.000651;0.000635;0.000575;0.000500;0.000426;0.000380;0.000638;0.000464;0.000545;0.000336;0.000451;0.000480;0.000533;0.000348;0.000404;0.000289;0.000539;0.000454;0.000572;0.000592;0.000424;0.000285;0.000480;0.000542;0.000384;0.000336;0.000575;0.000438;0.000371;0.000264;0.000305;0.000225;0.000229;0.000369;0.000328;0.000262;0.000176;0.000178;0.000340;0.000304;0.000266;0.000171;0.000375;0.000248;0.000314;0.000240;0.000085;0.000187;0.000451;0.000296;0.000171;0.000208;0.000106;0.000256;0.000230;0.000266;0.000110;0.000251;0.000144;0.000072;0.000105;0.000133;0.000132
